First,Japanese,English
、 148670,。 ,。
。 104416,何 ,what 
何 101249,あ ,a 
あ 79888,あなた ,you 
あなた 61249,言 ,Word
言 53108,行 ,Line
行 44960,人 ,Man 
人 35647,知 ,Knowledge
知 34442,） ,)
） 33861,（ ,(
（ 33754,事 ,case 
事 33661,彼女 ,she 
彼女 32871,お前 ,You
お前 31447,話 ,Story 
話 31026,来 ,Coming
来 26020,分か ,Division
分か 24739,者 ,person 
者 23675,聞 ,Hearing
聞 20527,死 ,death 
死 19457,時 ,Time 
時 19298,ああ ,ah 
ああ 18571,殺 ,Murder
殺 17916,前 ,Before 
前 17777,中 ,During 
中 17656,達 ,Daiser
達 17454,必要 ,need 
必要 16339,あの ,That
あの 15797,気 ,air 
気 15793,大丈夫 ,Are you okay 
大丈夫 15283,」 ,""""
」 15004,「 ,""""""
「 14914,自分 ,myself 
自分 14817,持 ,Holding
持 14180,本当 ,TRUE 
本当 14124,時間 ,Time
時間 14006,我々 ,we 
我々 13993,一 ,One
一 13988,的 ,Intended
的 13631,無 ,Nothing 
無 13465,ありがとう ,thank you 
ありがとう 13420,家 ,House 
家 13383,会 ,Meeting
会 12626,日 ,Day 
日 12496,年 ,Year 
年 12361,仕事 ,work 
仕事 11421,手 ,hand 
手 11258,一緒 ,together 
一緒 10913,後 ,After
後 10734,出来 ,Good
出来 10723,他 ,other 
他 10387,入 ,Entering
入 10295,電話 ,Telephone call
電話 9890,目 ,eye 
目 9782,様 ,Mr 
様 9020,分 ,Part
分 8918,車 ,car 
車 8917,所 ,Place
所 8900,あんた ,You
あんた 8646,度 ,Every time 
度 8526,同じ ,same 
同じ 8321,場所 ,place 
場所 8206,問題 ,Problem
問題 7963,子供 ,child 
子供 7924,愛 ,Love 
愛 7635,金 ,Money 
金 7634,名前 ,name 
名前 7402,子 ,Child 
子 7387,信 ,Religion
信 7268,さあ ,here we go 
さあ 7121,少し ,a bit 
少し 6985,使 ,Use
使 6969,全て ,all 
全て 6930,世界 ,World
世界 6865,教え ,lesson 
教え 6852,通り ,street 
通り 6779,来る ,come 
来る 6734,上 ,Up 
上 6696,入れ ,Get in 
入れ 6661,人間 ,human 
人間 6559,行け ,go 
行け 6466,今日 ,today 
今日 6361,物 ,thing 
物 6114,女 ,woman 
女 6079,呼 ,Call
呼 6065,生き ,Life
生き 5930,あれ ,that 
あれ 5864,じゃあ ,Then
じゃあ 5862,止め ,Stop
止め 5857,心配 ,anxiety 
心配 5838,母 ,mother 
母 5745,連れ ,Companion
連れ 5680,関係 ,relationship 
関係 5602,外 ,Outside
外 5564,家族 ,family 
家族 5558,起き ,Rising
起き 5454,意味 ,meaning 
意味 5446,神 ,God
神 5423,警察 ,Police
警察 5401,力 ,Power 
力 5391,最後 ,last 
最後 5382,作 ,Work
作 5293,次 ,Next 
次 5195,息子 ,son 
息子 5093,取 ,Take
取 5042,全部 ,All
全部 5002,間 ,while 
間 4991,書 ,book 
書 4953,捜査 ,Investigation
捜査 4939,起こ ,Ranging
起こ 4858,回 ,times 
回 4818,別 ,another 
別 4775,情報 ,information 
情報 4773,理由 ,reason 
理由 4741,数 ,number 
数 4619,一人 ,One person 
一人 4539,部屋 ,room 
部屋 4528,以上 ,that's all 
以上 4527,人生 ,Life
人生 4500,急 ,Sudden 
急 4485,食べ ,eat 
食べ 4415,女性 ,woman 
女性 4380,続け ,continue 
続け 4380,事件 ,Case
事件 4366,始め ,start 
始め 4358,最初 ,first 
最初 4333,連絡 ,contact 
連絡 4317,まあ ,oh dear 
まあ 4310,調べ ,Investigation
調べ 4282,安全 ,Safety
安全 4254,下さ ,Slapstick
下さ 4243,楽し ,Pleasure
楽し 4237,殺人 ,Murder
殺人 4194,下 ,Subordinate
下 4130,万 ,Ten thousand 
万 4124,友達 ,friend 
友達 4095,約束 ,promise 
約束 4086,二 ,Two
二 4083,結婚 ,Marriage
結婚 4020,無理 ,Impossible 
無理 3975,感じ ,Feeling
感じ 3970,得 ,Benefit
得 3882,最高 ,Best
最高 3836,送 ,Sending
送 3801,計画 ,plan 
計画 3787,仲間 ,fellow 
仲間 3777,先 ,Precedence
先 3775,可能 ,Possible 
可能 3774,あいつ ,that person 
あいつ 3762,あと ,After 
あと 3756,明日 ,tomorrow 
明日 3738,変わ ,Change
変わ 3735,聞こえ ,Hear
聞こえ 3726,確認 ,confirmation 
確認 3644,命 ,life 
命 3608,着 ,Wearing
着 3598,与え ,Giving
与え 3512,全員 ,All
全員 3509,動 ,Movement
動 3508,理解 ,Understanding 
理解 3478,二人 ,Two persons 
二人 3462,開け ,open 
開け 3456,友人 ,friend 
友人 3449,機 ,Machine
機 3438,不 ,Unprecedented
不 3427,あげ ,Gain
あげ 3425,離れ ,Farewell
離れ 3383,戦 ,War
戦 3316,先生 ,Teacher
先生 3297,言え ,say 
言え 3247,質問 ,question 
質問 3246,置 ,Place
置 3229,犯人 ,culprit 
犯人 3207,受け ,Receiving
受け 3188,感 ,Feeling
感 3181,第 ,First
第 3175,あぁ ,Ahh 
あぁ 3160,伝え ,Conveyor
伝え 3156,素晴らし ,Wonderful 
素晴らし 3153,ドア ,Door
ドア 3124,本 ,Book 
本 3086,乗 ,Boarding
乗 3086,用 ,for 
用 3080,感謝 ,Gratitude
感謝 3076,正し ,Right
正し 3053,言葉 ,words 
言葉 3047,大 ,Big 
大 3007,立 ,Standing
立 3005,写真 ,photograph 
写真 3001,２人 ,Two people
２人 2995,説明 ,explanation 
説明 2989,博士 ,Doctor
博士 2980,強 ,Strength
強 2972,絶対 ,absolute 
絶対 2970,座 ,Seat
座 2965,国 ,Country 
国 2962,向か ,Opposite
向か 2947,名 ,given name 
名 2869,ある ,be 
ある 2818,野郎 ,Bogus
野郎 2817,番 ,Rank
番 2767,一番 ,number one 
一番 2739,重要 ,Important
重要 2736,状況 ,situation 
状況 2722,元気 ,fine 
元気 2701,水 ,water 
水 2682,変え ,Change
変え 2681,十分 ,Enough
十分 2672,週間 ,week 
週間 2667,やあ ,Hi 
やあ 2659,父親 ,Father
父親 2655,間違い ,error 
間違い 2645,王 ,King
王 2619,了解 ,roger that 
了解 2607,相手 ,partner 
相手 2589,員 ,Member
員 2588,声 ,Voice
声 2571,会え ,Meet
会え 2550,音 ,sound 
音 2546,多く ,Many
多く 2544,消え ,vanish 
消え 2540,会社 ,company 
会社 2529,簡単 ,easy 
簡単 2513,選 ,Election
選 2501,残念 ,disappointing 
残念 2497,自由 ,freedom 
自由 2496,自身 ,Themselves
自身 2466,等 ,etc 
等 2457,一体 ,Integral
一体 2453,人々 ,people 
人々 2452,報告 ,report 
報告 2452,読 ,Reading
読 2444,過ぎ ,Over
過ぎ 2433,通 ,Passage
通 2433,アメリカ ,America 
アメリカ 2422,元 ,Origin
元 2415,命令 ,order 
命令 2409,高 ,High
高 2407,体 ,Body
体 2407,大統領 ,president 
大統領 2406,月 ,Month 
月 2394,警官 ,Police officer
警官 2390,語 ,Word
語 2384,学校 ,School
学校 2379,対 ,versus 
対 2375,決め ,Decision
決め 2370,真実 ,truth 
真実 2368,初めて ,first time 
初めて 2339,口 ,Mouth
口 2320,大変 ,hard 
大変 2309,要 ,Key
要 2299,変 ,strange 
変 2295,戦争 ,war 
戦争 2294,学 ,Learning
学 2290,あそこ ,over there 
あそこ 2289,武器 ,Weapon
武器 2275,店 ,shop 
店 2252,母親 ,mother 
母親 2233,刑事 ,Criminal
刑事 2231,気持ち ,feeling 
気持ち 2215,間違 ,mistake 
間違 2204,運 ,luck 
運 2203,記録 ,record 
記録 2197,光 ,light 
光 2191,手伝 ,help 
手伝 2170,深 ,Deep
深 2162,落ち着 ,Calmness
落ち着 2157,存在 ,Existence
存在 2156,実 ,fruit 
実 2143,役 ,Role
役 2141,病院 ,hospital 
病院 2141,住 ,Residence
住 2140,責任 ,Responsibility
責任 2135,あっ ,Ah 
あっ 2135,普通 ,Normally
普通 2121,行動 ,Behavior
行動 2121,大きな ,big 
大きな 2115,監視 ,Monitoring
監視 2114,協力 ,cooperation 
協力 2080,多分 ,perhaps 
多分 2071,実際 ,actual 
実際 2056,足 ,feet 
足 2054,地球 ,Earth
地球 2052,生活 ,Life
生活 2051,任せ ,leave to 
任せ 2043,気分 ,feeling 
気分 2040,解決 ,Solution
解決 2019,結果 ,Result
結果 2006,調査 ,investigation 
調査 2003,研究 ,the study 
研究 2003,何処 ,Where
何処 1958,発見 ,discovery 
発見 1952,場 ,Place
場 1948,大事 ,Important
大事 1946,止ま ,Stopping
止ま 1942,興味 ,interest 
興味 1938,大き ,big 
大き 1937,生 ,Living 
生 1934,なあ ,What
なあ 1933,運転 ,driving 
運転 1930,ヶ月 ,months 
ヶ月 1929,多 ,Many
多 1928,１人 ,One person
１人 1926,番号 ,number 
番号 1919,状態 ,situation 
状態 1916,来い ,come 
来い 1912,開 ,Open
開 1903,上手 ,good 
上手 1902,済 ,done 
済 1902,場合 ,case 
場合 1901,刑務 ,Sentence
刑務 1897,今度 ,next time 
今度 1891,以外 ,other than 
以外 1884,朝 ,morning 
朝 1869,飛行 ,Flight
飛行 1867,あまり ,not much 
あまり 1852,近く ,near 
近く 1844,後ろ ,behind 
後ろ 1840,目的 ,the purpose 
目的 1838,歌 ,song 
歌 1835,面白 ,Fun
面白 1832,弁護 ,Defense
弁護 1828,客 ,Customer
客 1828,売 ,Selling
売 1822,特別 ,special 
特別 1819,昨日 ,Yesterday
昨日 1811,少な ,Small
少な 1803,認め ,Recognition
認め 1797,死体 ,Corpse
死体 1793,医者 ,doctor 
医者 1791,装置 ,Device 
装置 1791,共 ,Both 
共 1789,唯一 ,Only 
唯一 1780,あんな ,Such a thing
あんな 1774,不明 ,not clear 
不明 1772,限り ,as long as 
限り 1772,信用 ,Trust
信用 1772,美し ,beautiful 
美し 1756,用意 ,preparation 
用意 1751,話せ ,Talk
話せ 1748,移動 ,Migration
移動 1742,映画 ,movie 
映画 1742,美咲 ,Beautiful Saki
美咲 1741,取引 ,transaction 
取引 1740,最近 ,recently 
最近 1738,現場 ,Site
現場 1732,事故 ,Accident
事故 1731,連中 ,Their colleagues
連中 1723,過去 ,Past
過去 1712,全く ,absolutely 
全く 1704,選択 ,choice 
選択 1698,完全 ,Perfect 
完全 1698,信じ ,Belief
信じ 1697,信頼 ,trust 
信頼 1692,町 ,town 
町 1686,何故 ,Why
何故 1684,始ま ,Beginning
始ま 1682,精神 ,Spirit
精神 1676,付け ,Attachment
付け 1670,あら ,fault 
あら 1665,女の子 ,girl 
女の子 1663,気づ ,Awareness
気づ 1663,記憶 ,Memory 
記憶 1661,頑張 ,Hard -working
頑張 1646,人 ,Man 
2人 1645,素敵 ,nice 
素敵 1612,身 ,Body
身 1607,価値 ,value 
価値 1602,有 ,Existence
有 1597,非常 ,Informal
非常 1596,三 ,Three
三 1595,最も ,most 
最も 1595,両親 ,parents 
両親 1589,人物 ,Person
人物 1588,生まれ ,birth 
生まれ 1580,警備 ,Security
警備 1576,以前 ,Before 
以前 1575,無事 ,Safely
無事 1574,聞け ,Hear
聞け 1570,決して ,never 
決して 1569,銀行 ,Bank 
